,Bandwidth,Timestamp,Duration,TxCountOfEachFlow,TxCountTotal,RxCountTotal,TxPacketCount,RxPacketCount,PacketLoss,PacketLoss%,LatencyMin,LatencyMax
ST,6.6,2023_03_26_04_24_39,1,825,1650,1650,825,825,0,0.0,0.07,0.36
BE,6.6,2023_03_26_04_24_39,1,825,1650,1650,825,825,0,0.0,0.12,0.4
,Bandwidth,Timestamp,Duration,TxCountOfEachFlow,TxCountTotal,RxCountTotal,TxPacketCount,RxPacketCount,PacketLoss,PacketLoss%,LatencyMin,LatencyMax
ST,10M,2023_03_26_04_28_20,1,1250,2500,2500,1250,1250,0,0.0,0.07,0.23
BE,10M,2023_03_26_04_28_20,1,1250,2500,2500,1250,1250,0,0.0,0.07,0.23
,Bandwidth,Timestamp,Duration,TxCountOfEachFlow,TxCountTotal,RxCountTotal,TxPacketCount,RxPacketCount,PacketLoss,PacketLoss%,LatencyMin,LatencyMax
ST,10M,2023_03_26_04_55_27,1,1250,2500,2500,1250,1250,0,0.0,0.06,1.18
BE,10M,2023_03_26_04_55_27,1,1250,2500,2500,1250,1250,0,0.0,0.08,1.11
,Bandwidth,Timestamp,Duration,TxCountOfEachFlow,TxCountTotal,RxCountTotal,TxPacketCount,RxPacketCount,PacketLoss,PacketLoss%,LatencyMin,LatencyMax
ST,10M,2023_03_26_04_57_43,1,1250,2500,2500,1250,1250,0,0.0,0.06,0.18
BE,10M,2023_03_26_04_57_43,1,1250,2500,2500,1250,1250,0,0.0,0.05,0.51
,Bandwidth,Timestamp,Duration,TxCountOfEachFlow,TxCountTotal,RxCountTotal,TxPacketCount,RxPacketCount,PacketLoss,PacketLoss%,LatencyMin,LatencyMax
ST,1000M,2023_03_26_05_05_11,1,125000,250000,250000,125000,125000,0,0.0,0.03,3.52
BE,1000M,2023_03_26_05_05_11,1,125000,250000,250000,125000,125000,0,0.0,0.04,3.55
,Bandwidth,Timestamp,Duration,TxCountOfEachFlow,TxCountTotal,RxCountTotal,TxPacketCount,RxPacketCount,PacketLoss,PacketLoss%,LatencyMin,LatencyMax
