ip.src,ip.id,vlan.id,frame.time_epoch,frame.len
15.15.15.0,0x000004a2,3,1673481127.424573278,1045
15.15.15.0,0x000004a3,2,1673481127.424655413,1045
15.15.15.0,0x000004a3,3,1673481127.424738621,1045
15.15.15.0,0x000004a4,2,1673481127.424825070,1045
15.15.15.0,0x000004a4,3,1673481127.424906811,1045
15.15.15.0,0x000004a5,2,1673481127.424990777,1045
15.15.15.0,0x000004a5,3,1673481127.425074038,1045
15.15.15.0,0x000004a6,2,1673481127.425158891,1045
15.15.15.0,0x000004a6,3,1673481127.425241727,1045
15.15.15.0,0x000004a7,2,1673481127.425324519,1045
15.15.15.0,0x000004a7,3,1673481127.425409847,1045
15.15.15.0,0x000004a8,2,1673481127.425491740,1045
15.15.15.0,0x000004a8,3,1673481127.425575999,1045
15.15.15.0,0x000004a9,2,1673481127.425659548,1045
15.15.15.0,0x000004a9,3,1673481127.425755057,1045
15.15.15.0,0x000004aa,2,1673481127.425826615,1045
15.15.15.0,0x000004aa,3,1673481127.425909797,1045
15.15.15.0,0x000004ab,2,1673481127.425993723,1045
15.15.15.0,0x000004ab,3,1673481127.426078890,1045
15.15.15.0,0x000004ac,2,1673481127.426160738,1045
15.15.15.0,0x000004ac,3,1673481127.426245019,1045
15.15.15.0,0x000004ad,2,1673481127.426327547,1045
15.15.15.0,0x000004ad,3,1673481127.426412867,1045
15.15.15.0,0x000004ae,2,1673481127.426495496,1045
15.15.15.0,0x000004ae,3,1673481127.426578958,1045
15.15.15.0,0x000004af,2,1673481127.426662707,1045
15.15.15.0,0x000004af,3,1673481127.426747102,1045
15.15.15.0,0x000004b0,2,1673481127.426829934,1045
15.15.15.0,0x000004b0,3,1673481127.426913839,1045
15.15.15.0,0x000004b1,2,1673481127.426995769,1045
15.15.15.0,0x000004b1,3,1673481127.427081464,1045
15.15.15.0,0x000004b2,2,1673481127.427162700,1045
15.15.15.0,0x000004b2,3,1673481127.427248103,1045
15.15.15.0,0x000004b3,2,1673481127.427331563,1045
15.15.15.0,0x000004b3,3,1673481127.427416175,1045
15.15.15.0,0x000004b4,2,1673481127.427498721,1045
15.15.15.0,0x000004b4,3,1673481127.427581635,1045
15.15.15.0,0x000004b5,2,1673481127.427665805,1045
15.15.15.0,0x000004b5,3,1673481127.427750585,1045
15.15.15.0,0x000004b6,2,1673481127.427832668,1045
15.15.15.0,0x000004b6,3,1673481127.427917026,1045
15.15.15.0,0x000004b7,2,1673481127.428000557,1045
15.15.15.0,0x000004b7,3,1673481127.428083526,1045
15.15.15.0,0x000004b8,2,1673481127.428166513,1045
15.15.15.0,0x000004b8,3,1673481127.428250986,1045
15.15.15.0,0x000004b9,2,1673481127.428335619,1045
15.15.15.0,0x000004b9,3,1673481127.428417858,1045
15.15.15.0,0x000004ba,2,1673481127.428501375,1045
15.15.15.0,0x000004ba,3,1673481127.428584771,1045
15.15.15.0,0x000004bb,2,1673481127.428669753,1045
15.15.15.0,0x000004bb,3,1673481127.428752583,1045
15.15.15.0,0x000004bc,2,1673481127.428834510,1045
15.15.15.0,0x000004bc,3,1673481127.428919785,1045
15.15.15.0,0x000004bd,2,1673481127.429006693,1045
15.15.15.0,0x000004bd,3,1673481127.429086790,1045
15.15.15.0,0x000004be,2,1673481127.429170662,1045
